和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)

クモノスヒメチャワンタケ,,,Arachnopeziza leonina (Schwein.) Dennis = Arachnopeziza candidofulva (Schwein.) Korf,ヒナノチャワンタケ科,クモノスヒナノチャワンタケ属,Hyaloscyphaceae,Arachnopeziza,,

ハリケヒナノチャワンタケ,,,Hyalopeziza leuconica (Cook) Raitv. ,ヒナノチャワンタケ科,ヒアロペジザ属,Hyaloscyphaceae,Hyalopeziza,"Hyalopeziza leuconica Raitv., Scripta Mycologica Tartu 20: 59 (2004) [MB#367372]",

ラクネルラガンシュビョウキン,,,Lachnellula pini (Brunch.) Dennis,ヒナノチャワンタケ科,ヒナノチャワンタケモドキ属,Hyaloscyphaceae,Lachnellula,"Dasyscyphus pini (Brunch.) G.G. Hahn & Ayers, Mycologia 26 (6): 487 (1934) [MB#274505]","Dasyscyphus pini (Brunch.) G.G. Hahn & Ayers, Mycologia 26 (6): 487 (1934) [MB#274505]<br />Lachnella pini Brunch. (1894) [MB#165908]

"

タマケヒナノチャワンタケ,,,Lachnum asiaticum (Y. Otani) Raitv.,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,,

シロヒメチャワンタケ,,,Lachnum diminutum (Roberge ex Desm.) Rehm,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,"Dasyscyphus diminutus (Roberge ex Desm.) Sacc., Sylloge Fungorum 8: 449 (1889) [MB#356526]","Atractobolus diminutus (Roberge ex Desm.) Kuntze, Revisio generum plantarum 3 (2): 445 (1898) [MB#523326]<br />Lachnum diminutum f. diminutum (Roberge ex Desm.) Rehm: no. 907 (1896) [MB#580907]

<br />Dasyscyphus diminutus (Roberge ex Desm.) Sacc., Sylloge Fungorum 8: 449 (1889) [MB#356526]

<br />Dasyscyphus deminutus (Roberge ex Desm.) Sacc., Sylloge Fungorum 8: 449 (1889) [MB#235600]

<br />Dasyscyphus deminuta (Roberge ex Desm.) Sacc. (1889) [MB#260228]

<br />Lachnella deminuta (Roberge ex Desm.) W. Phillips (1887) [MB#169420]

<br />Lachnella diminuta (Roberge ex Desm.) W. Phillips, A manual of the British Discomycetes: 253 (1887) [MB#542332]

<br />Erinella diminuta (Roberge ex Desm.) Quél.: 304 (1886) [MB#582012]

<br />Lachnea diminuta (Roberge ex Desm.) Gillet: 71 (1880) [MB#582900]

<br />Peziza deminuta Roberge ex Desm. (1847) [MB#203653]

<br />Peziza diminuta Roberge ex Desm., Annales des Sciences Naturelles Botanique 8: 185 (1847) [MB#536330]

"

ハリミノシロヒナノチャワンタケ,,,Lachnum hainanense W.Y. Zhuang & Zheng Wang,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,,

クロヒナノチャワン,,,Lachnum japonicum Syd. ,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,,

ビロウバヒナノチャワンタケ,,,Lachnum pritzelianum (Henn.) Spooner,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,,

サビイロヒナノチャワンタケ,,,Lachnum pseudocerinum (Y. Otani) Y. Otani (ined.),ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,,

クルミシロヒナノチャワンタケ,,,"Lachnum rachdicola J. G. Han, Raitv. & H. D. Shin",ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,,

モイワヒナノチャワンタケ,,,Lachnum roridum (Wallr.) Rehm,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,"Lachnum roridum (Wallr.) Rehm, Rabenhorst's Kryptogamen-Flora, Pilze - Ascomyceten 1(3): 873 (1893) [MB#531850]","Atractobolus roridus (Wallr.) Kuntze, Revisio generum plantarum 3 (2): 446 (1898) [MB#523405]<br />Dasyscyphus roridus (Wallr.) Sacc., Sylloge Fungorum 8: 435 (1889) [MB#194608]

<br />Dasyscyphus rorida (Wallr.) Sacc. (1889) [MB#260311]

<br />Peziza rorida Wallr., Flora Cryptogamica Germaniae 2: 457 (1833) [MB#193702]

"

コワゲヒナノチャワンタケ,,,Lachnum sinegoricum (Raitv.) Raitv.,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,,

キオビナガエチチタケ,,,Lactarius volemus (Fr.) Fr. var. flavus Hesler & A.H. Sm. → Lactarius volemus (Fr.) Fr.,ヒナノチャワンタケ科,ヒナノチャワンタケ属,Hyaloscyphaceae,Lachnum,"Lactarius volemus (Fr.) Fr., Epicrisis Systematis Mycologici: 344 (1838) [MB#231293]","Lactarius wangii J.Z. Ying & H.A. Wen, Mycosystema 24 (2): 156 (2005) [MB#343966]<br />Lactifluus volemus (Fr.) Kuntze, Revisio generum plantarum 3 (2): 857 (1891) [MB#231740]

<br />Galorrheus volemus (Fr.) P. Kumm., Der Führer in die Pilzkunde: 127 (1871) [MB#507874]

<br />Agaricus volemus Fr., Systema Mycologicum 1: 69 (1821) [MB#164022]

"

フタツミシロヒナノチャワンタケ,,フタスミシロヒナノチャワンタケ,Proliferodiscus alboviridis (Sacc.) Spooner ,ヒナノチャワンタケ科,プロリフェロディスクス属,Hyaloscyphaceae,Proliferodiscus,"Proliferodiscus alboviridis (Sacc.) Spooner, Bibliotheca Mycologica 116: 642 (1987) [MB#130987]",

キイロヒナノチャワンタケ,,,Trichopeziza mollissima (Lasch) Fuckel → Belonidium mollissimum (Lasch) Raitv.,ヒナノチャワンタケ科,トリコペジザ属,Hyaloscyphaceae,Trichopeziza,"Lachnum mollissimum (Fuckel) P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 19: 174 (1871) [MB#219887]","Belonidium mollissimum (Fuckel) Raitv., Scripta Mycologica Tartu 1: 45 (1970) [MB#309503]<br />Dasyscyphus mollissimus (Fuckel) Nannf., Fungi Exsiccati Suecici Fasc. 47-48: p. 44 (1956) [MB#120929]

<br />Dasyscypha mollissimus (Fuckel) Nannf. (1956) [MB#527843]

<br />Dyslachnum mollissimum (Fuckel) Clem., The genera of Fungi: 175 (1909) [MB#431597]

<br />Lachnella mollissima (Fuckel) Quél., Comptes Rendus de l´Association Française pour l´Avancement des Sciences 11: 406 (1883) [MB#433752]

<br />Lachnum mollissimum (Fuckel) P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 19: 174 (1871) [MB#219887]

<br />Peziza mollissima Lasch, Klotzschii herbarium vivum mycologicum sistens fungorum per totam Germaniam crescentium collectionem perfectam. Editio nova. Centuria VIII: no. 708 (1858) [MB#149994]

"

ヒメアオズキンタケ,,,Leotia chlorocephala Schwein. f. atrovirens ( S. Imai) Y.Otani (ined.),ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,"Leotia chlorocephala Schwein., Schriften der Naturforschenden Gesellschaft zu Leipzig 1: 114 (1822) [MB#214036]",

アオガシラズキンタケ,,クサズキンタケ,Leotia kawamurae (S. Imai) Y.Otani (ined.),ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,,

オオズキンタケ,,,Leotia lubrica (Scop.) Pers. f. gigantea S. Imai,ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,"Leotia lubrica (Scop.) Pers., Commentatio de Fungis Clavaeformibus: 31 (1797) [MB#168196]","Peziza cornucopiae Hoffm., Vegetabilia Cryptogama 2: 21, t. 6:1 (1790) [MB#202697]<br />Helvella lubrica Scop., Flora carniolica 2: 477 (1772) [MB#216648]

"

ヒメズキンタケ,,,Leotia lubrica (Scop.) Pers. f. minima S. Imai,ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,"Leotia lubrica (Scop.) Pers., Commentatio de Fungis Clavaeformibus: 31 (1797) [MB#168196]","Peziza cornucopiae Hoffm., Vegetabilia Cryptogama 2: 21, t. 6:1 (1790) [MB#202697]<br />Helvella lubrica Scop., Flora carniolica 2: 477 (1772) [MB#216648]

"

キズキンタケ,,,Leotia lubrica (Scop.) Pers. f. ochracea S. Imai,ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,"Leotia lubrica (Scop.) Pers., Commentatio de Fungis Clavaeformibus: 31 (1797) [MB#168196]","Peziza cornucopiae Hoffm., Vegetabilia Cryptogama 2: 21, t. 6:1 (1790) [MB#202697]<br />Helvella lubrica Scop., Flora carniolica 2: 477 (1772) [MB#216648]

"

ヤブレズキンタケ,,,Leotia portentosa (S. Imai & Minakata ) F. L. Tai,ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,,

ヒメアカエノズキンタケ,,,Leotia stipitata (Bosc.) J. Schröt. f. parviaurantipes (S. Imai) Y.Otani (ined.),ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,,

ヒメアカエノズキンタケ,,,Leotia ZZZ,ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,,

ドングリキンカクキン,,"ナラミノチャワンタケ，
ドングリキンカクチャワンタケ",Ciboria batschiana (Zopf) N.F. Buchw.,キンカクキン科,キボリアキンカクキン属,Sclerotiniaceae,Ciboria,Sclerotinia pseudotuberosa (Rehm) Rehm (1885) [MB#445561],"Sclerotinia batschiana Zopf, Mycotheca marchia: no. 50 (1880) [MB#181721]

<br />Ciboria pseudotuberosa Rehm: no. 106 (1870) [MB#544154]"

アケビタケ,,,Ciborinia ZZZ,キンカクキン科,ニセキンカクキン属,Sclerotiniaceae,Ciborinia,,

トチノカヒビョウタケ,,,Dicephalospora ZZZ,キンカクキン科,ディケファロスポラ属,Sclerotiniaceae,Dicephalospora,,

ヒメアネモネタマチャワンタケ,,,Dumontinia ZZZ,キンカクキン科,タマキンカクキン属,Sclerotiniaceae,Dumontinia,,

ニセヒメカンムリタケ,,,Mitrula japonica (Kawam.) Otani (ined.),キンカクキン科,カンムリタケ属,Sclerotiniaceae,Mitrula,,

マツバチャワンタケ,,,Moellerodiscus pinicolus Y. Otani,キンカクキン科,ニセキボリアキン属,Sclerotiniaceae,Moellerodiscus,,

コウゾノミチャワンタケ,,,ZZZ,キンカクキン科,？属,Sclerotiniaceae,ZZZ,,

フクロサンゴタケ,,フクロサンゴ,Hemiglossum itoanum S. Imai,？科,フクロサンゴタケ属,ZZZceae,Hemiglossum,,

オオホテイタケ,,,Pachycudonia constrictospora (S. Ito & S. Imai) S. Imai,？科,オオホテイタケ属,ZZZceae,Pachycudonia,"Pachycudonia constrictospora (S. Ito & S. Imai) S. Imai, Bot. Mag., Tokyo: 235 (1950) [MB#302168]","Cudonia constrictospora S. Ito & S. Imai, Trans. Sapporo Nat. Hist. Soc.: 183 (1934) [MB#261823]"

ヤマボウシタケ,,,ZZZ,？科,？属,ZZZceae,ZZZ,,

タマニカワタケ,,,Orbilia limpida Kobayasi,ヒメミカンタケ科,ヒメミカンタケ属,Orbiliaceae,Orbilia,,

ヒメミカンタケ,,,Orbilia ZZZ,ヒメミカンタケ科,ヒメミカンタケ属,Orbiliaceae,Orbilia,,

ホソミノイバリスイライカビ,,,Ascobolus hansenii M.D. Paulsen & Dissing,スイライカビ科,スイライカビ属,Ascobolaceae,Ascobolus,"Ascobolus hansenii M.D. Paulsen & Dissing, Botanisk Tidsskrift 74 (2-3): 75 (1980) [MB#309036]",

キチャワンタケモドキ,,,Caloscypha ZZZ,キチャワンタケ科,キチャワンタケ属,Caloscyphaceae,Caloscypha,,

オオナミチャワンタケ,,,Discina ZZZ,フクロシトネタケ科,フクロシトネタケ属,Discinaceae,Discina,,

ツチイロヒメチャワンタケ,,ヒメシトネタケ（池田）,Discina ZZZ,フクロシトネタケ科,フクロシトネタケ属,Discinaceae,Discina,,

オオカサノボリリュウ,,"オオカサノボリュウタケ，
オオノボリリュウタケ，
オオガサノボリリョウ，
オオガサノボリリュウ",Gyromitra discinoides (S. Imai) S. Imai,フクロシトネタケ科,シャグマアミガサタケ属,Discinaceae,Gyromitra,,

ヤマクラゲ,,,ZZZ,ノボリリュウ科,ヤマクラゲ属,Helvellaceae,ZZZyamankurage,,

ツチクレタケ,,,Barssia yezomontana (Kobayasi) Trappe,ノボリリュウ科,ツチクレタケ属,Helvellaceae,Barssia,"Barssia yezomontana (Kobayasi) Trappe, Mycotaxon 9 (1): 336 (1979) [MB#309451]","Barssia yezo-montana (Kobayasi) Trappe (1979) [MB#253085]<br />Phymatomyces yezomontanus Kobayasi, Journal of Japanese Botany 13: 913 (1937) [MB#282247]

<br />Phymatomyces yezo-montanus Kobayasi, Journal of Japanese Botany 13: 913 (1937) [MB#276554]

"

アラゲアシボソノボリリュウ,,"アラゲアシボソノボリリュウタケ，
ウラゲアシボソノボリリュウ",Helvella elastica Bull. f. panormitanoides Minakata,ノボリリュウ科,ノボリリュウ属,Helvellaceae,Helvella,,

アカエノノボリリュウ,,アカエノノボリリュウタケ,Helvella ZZZ,ノボリリュウ科,ノボリリュウ属,Helvellaceae,Helvella,,

イボミナガエノチャワンタケ,,,Helvella ZZZ,ノボリリュウ科,ノボリリュウ属,Helvellaceae,Helvella,,

エナシノノボリリュウ,,,Helvella ZZZ,ノボリリュウ科,ノボリリュウ属,Helvellaceae,Helvella,,

サビイロサカズキタケ,,,Helvella ZZZ,ノボリリュウ科,ノボリリュウ属,Helvellaceae,Helvella,,

コガニタケ,,,Disciotis ZZZ,アミガサタケ科,カニタケ属,Morchellaceae,Disciotis,,

クラマノアミガサタケ,,,Morchella conica Pers. f. kuramensis Yoshimi (nom. nud.),アミガサタケ科,アミガサタケ属,Morchellaceae,Morchella,,

コンボウアミガサタケ,,,Morchella miyabeana S. Imai,アミガサタケ科,アミガサタケ属,Morchellaceae,Morchella,,

フカアミガサタケ,,コガサアミガサタケ,Morchella patula Pers.,アミガサタケ科,アミガサタケ属,Morchellaceae,Morchella,"Phallus patulus J.F. Gmel., Systema Naturae 2 (2): 1449 (1792) [MB#497399]","Phallus patulus J.F. Gmel., Systema Naturae 2 (2): 1449 (1792) [MB#497399]"

オオフカアミガサタケ,,,Morchella patula Pers. var. gigas (Pers.) S. Imai,アミガサタケ科,アミガサタケ属,Morchellaceae,Morchella,"Phallus patulus J.F. Gmel., Systema Naturae 2 (2): 1449 (1792) [MB#497399]","Phallus patulus J.F. Gmel., Systema Naturae 2 (2): 1449 (1792) [MB#497399]"

アカエノズキンカブリ,,,Verpa digitaliformis Pers. var. rufipes S. Imai ,アミガサタケ科,テンガイカブリタケ属,Morchellaceae,Verpa,"Verpa digitaliformis Pers., Mycologia Europaea 1: 202, t. 7;1-3 (1822) [MB#340894]","Monka digitaliformis (Pers.) Kuntze, Revisio generum plantarum 3 (2): 498 (1898) [MB#527295]"

タヌキノチャワンタケ（小山）,,,Peziza micropus Pers.,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,"Peziza micropus Pers., Icones et Descriptiones Fungorum Minus Cognitorum 2: 30, t. 8:3 (1800) [MB#223777]","Galactinia micropus (Pers.) Svrcek, Ceská Mykologie 16 (2): 111 (1962) [MB#331041]<br />Plicaria micropus (Pers.) Bánhegyi, Borbásia 1 (3-7): 85 (1939) [MB#253339]

<br />Geopyxis micropus (Pers.) Rehm, Rabenhorst's Kryptogamen-Flora, Pilze - Ascomyceten 1(3): 975 (1894) [MB#453228]

<br />Otidea micropus (Pers.) Sacc., Sylloge Fungorum 8: 98 (1889) [MB#164131]

<br />Aleuria micropus (Pers.) Gillet (1881) [MB#433804]

<br />Pustularia micropus (Pers.) Fuckel, Jahrbücher des Nassauischen Vereins für Naturkunde 23-24: 328 (1870) [MB#184712]

"

ヤケアトキイロチャワンタケ,,,Peziza verrucosa Yoshimi (nom. nud.),チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,"Peziza verrucosa Pers., Synopsis methodica fungorum: 646 (1801) [MB#497392]","Plicaria verrucosa Velen., Ceske Houby 4-5: 868 (1922) [MB#281603]<br />Geopyxis verrucosa (Pers.) Rehm: 976 (1894) [MB#582025]"

アケボノチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

ウスイロチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

ウスイロチャワンタケモドキ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

キイロオオチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

キノボリチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

クリイロチャワンタケモドキ,,"ザラミノチャワンタケ，
クリイロチャワンタケ（青木）",Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

コケイロチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

ザラミノキチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

ヒメチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

フタツブスジアミチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

フタツミザラミノチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

ブナチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

フンセイチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

マルミノヒイロチャワンタケ,,,Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

ヤセノムラサキチャワンタケ,,"ムラサキチャワンタケ（吉見），
アシブトチャワンタケモドキ",Peziza ZZZ,チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

ウツロイモタケ（吉見）,,,Peziza ZZZ = Gyrocratera japonica Yoshimi (ined),チャワンタケ科,チャワンタケ属,Pezizaceae,Peziza,,

マルミノチャワンタケ,,,Plicaria leiocarpa (Curr.) Boud.,チャワンタケ科,マルミノチャワンタケ属,Pezizaceae,Plicaria,"Plicaria leiocarpa (Curr.) Boud., Bulletin de la Société Mycologique de France 1: 102 (1885) [MB#247381]","Galactinia leiocarpa (Curr.) Le Gal, Bulletin de la Société Mycologique de France 78: 212 (1962) [MB#331040]<br />Lamprospora leiocarpa (Curr.) Seaver: 21 (1914) [MB#584963]

<br />Plicariella leiocarpa (Curr.) Rehm, Rabenhorst's Kryptogamen-Flora, Pilze - Ascomyceten 1(3): 994 (1894) [MB#531452]

<br />Detonia leiocarpa (Curr.) Sacc., Sylloge Fungorum 8: 105 (1889) [MB#245864]

<br />Detonia lejocarpa (Curr.) Sacc. (1889) [MB#260529]

<br />Aleuria leiocarpa (Curr.) Quél.: 280 (1886) [MB#581868]

<br />Peziza leiocarpa Curr., Transactions of the Linnaean Society of London 24: 493 (1864) [MB#249287]

<br />Peziza lejocarpa Curr. (1864) [MB#274938]

"

ザラツキマルミノチャワンタケ,,,Plicaria trachycarpa (Curr.) Boud. → Lamprospora trachycarpa (Curr.) Seaver,チャワンタケ科,マルミノチャワンタケ属,Pezizaceae,Plicaria,"Lamprospora trachycarpa (Curr.) Seaver, Mycologia 6 (1): 19 (1914) [MB#356734]","Galactinia trachycarpa (Curr.) Le Gal, Bulletin de la Société Mycologique de France 78: 212 (1962) [MB#331054]

<br />Plicariella trachycarpa (Curr.) Velen., Monographia Discomycetum Bohemiae: 342 (1934) [MB#356645]

<br />Lamprospora trachycarpa (Curr.) Seaver, Mycologia 6 (1): 19 (1914) [MB#356734]

<br />Curreyella trachycarpa (Curr.) Massee & Crossl., British Fungus-Flora 4: 156 (1895) [MB#462323]

<br />Detonia trachycarpa (Curr.) Sacc., Sylloge Fungorum 8: 105 (1889) [MB#246125]

<br />Discina trachycarpa (Curr.) P. Karst., Acta Societatis pro Fauna et Flora Fennica 2 (6): 113 (1885) [MB#581999]

<br />Peziza melanosperma P. Crouan & H. Crouan, Florule de Finistère, Contenant des Descriptions de 360 Espèces Nouvelles de Sporogames, des Nombreuses Observations: 50 (1867) [MB#499665]<br />Peziza trachycarpa Curr., Transactions of the Linnaean Society of London 24: 493 (1864) [MB#168964]

"

ヤケノチャワンタケ,,,ZZZ,チャワンタケ科,ヤケノチャワンタケ属,Pezizaceae,ZZZyakenohimetyawantake,,

オレンジサラタケ,,,Aleuria ZZZ,ピロネマキン科,ヒイロチャワンタケ属,Pyronemataceae,Aleuria,,

ヤケノヒメダイダイタケ,,,Anthracobia ZZZ,ピロネマキン科,ヤケノヒメダイダイタケ属,Pyronemataceae,Anthracobia,,

ウスチャスズメノワン,,,Cheilymenia ZZZ,ピロネマキン科,クチガネワンタケ属,Pyronemataceae,Cheilymenia,,

アサマベニサラタケ,,,Coprobia ZZZ,ピロネマキン科,アサマベニサラタケ属,Pyronemataceae,Coprobia,,

ヒメスズメノワン,,,Humaria ZZZ,ピロネマキン科,シロスズメノワン属,Pyronemataceae,Humaria,,

ウツロイモタケ（青木）,,,Hydnocystis japonica (Kobayasi) Trappe,ピロネマキン科,ヒドノキスティス属,Pyronemataceae,Hydnocystis,"Hydnocystis japonica (Kobayasi) Trappe, Mycotaxon 2 (1): 115 (1975) [MB#315326]","Protogenea japonica Kobayasi, Transactions of the Mycological Society of Japan 4: 119 (1964) [MB#337623]"

コガネコザラタケ,,,Melastiza ZZZ,ピロネマキン科,ベニサラタケ属,Pyronemataceae,Melastiza,,

ザラミノコガネチャワンタケ,,,Melastiza ZZZ,ピロネマキン科,ベニサラタケ属,Pyronemataceae,Melastiza,,

ダイダイコザラタケ,,,Melastiza ZZZ,ピロネマキン科,ベニサラタケ属,Pyronemataceae,Melastiza,,

トキイロヒメダイザ,,,Octospora ZZZ,ピロネマキン科,トキイロヒメダイザ属,Pyronemataceae,Octospora,,

ミミタブタケ,,,Otidea auricula (Schaeff.) Rehm,ピロネマキン科,ウスベニミミタケ属,Pyronemataceae,Otidea,"Otidea leporina (Batsch) Fuckel, Jahrbücher des Nassauischen Vereins für Naturkunde 23-24: 329 (1870) [MB#164037]","Helvella leporina (Batsch) Franchi, L. Lami & M. Marchetti, Rivista di Micologia 42 (1): 63 (1999) [MB#459350]<br />Scodellina auricula (Schaeff.) Seaver, The North American Cup-Fungi (Operculates) (3): 185 (1928) [MB#505818]

<br />Wynnella auricula (Schaeff.) Boud., Bulletin de la Société Mycologique de France 1: 102 (1885) [MB#434069]

<br />Aleuria auricula (Schaeffer) Gillet, Champignons de France. Les Discomycètes 2: 40 (1879) [MB#805546]

<br />Aleuria leporina (Batsch) Gillet, Champignons de France. Les Discomycètes 2: 40 (1879) [MB#816527]

<br />Peziza auricula (Schaeffer) Cooke, Mycographia, seu Icones fungorum 1 (4): 124 (1876) [MB#805547]

<br />Otidea leporina (Batsch) Fuckel, Jahrbücher des Nassauischen Vereins für Naturkunde 23-24: 329 (1870) [MB#164037]

<br />Scodellina leporina (Batsch) Gray, A natural arrangement of British plants 1: 668 (1821) [MB#477116]

<br />Peziza leporina Batsch, Elenchus fungorum: 117 (1783) [MB#246469]

<br />Helvella auricula Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 103, t. 156 (1774) [MB#482707]

<br />Elvela auricula Schaeff. (1774) [MB#560491]

"

カベンチャワンタケ,,,Otidea rainierensis Kanouse,ピロネマキン科,ウスベニミミタケ属,Pyronemataceae,Otidea,"Otidea rainierensis Kanouse, Mycologia 41: 674 (1949) [MB#302121]","Otidea kauffmanii Kanouse, Mycologia 41: 673 (1949) [MB#302119]"

マルミノコベニチャワンタケ,,,Pulvinula constellatio (Berk. & Broome) Boud.,ピロネマキン科,プルヴィヌラ属,Pyronemataceae,Pulvinula,"Barlaea constellatio (Berk. & Broome) Sacc., Sylloge Fungorum 8: 111 (1889) [MB#220840]","Lamprospora constellatio (Berk. & Broome) Seaver, Mycologia 6 (1): 18 (1914) [MB#118882]

<br />Lamprospora constellation (Berk. & Broome) Seaver (1914) [MB#267797]<br />Barlaeina constellatio (Berk. & Broome) Sacc. & Traverso, Sylloge Fungorum 19: 138 (1910) [MB#196606]

<br />Plicariella constellatio (Berk. & Broome) Lindau, Die Natürlichen Pflanzenfamilien nebst ihren Gattungen und wichtigeren Arten 1 (1): 180 (1897) [MB#825343]

<br />Barlaea constellatio (Berk. & Broome) Sacc., Sylloge Fungorum 8: 111 (1889) [MB#220840]

<br />Crouania constellatio (Berk. & Broome) Lambotte, Mémoires de la Société Royale des Sciences de Liège, sér. 2 14: 318 (prepr.) (1887) [MB#582480]

<br />Aleuria constellatio (Berk. & Broome) Gillet, Champignons de France. Les Discomycètes 8: 207 (1886) [MB#629802]

<br />Leucoloma constellatio (Berk. & Broome) Rehm (1878) [MB#167804]

<br />Peziza constellatio Berk. & Broome, Annals and Magazine of Natural History 17: 142 (1876) [MB#212468]

"

トキイロヒメチャワンタケ,,,Pulvinula ZZZ,ピロネマキン科,プルヴィヌラ属,Pyronemataceae,Pulvinula,,

コゴメノチャワンタケ,,,Pustularia cupularis (L.) Fuckel,ピロネマキン科,コゴメノチャワンタケ属,Pyronemataceae,Pustularia,"Tarzetta cupularis (L.) Svrcek, Ceská Mykologie 35 (2): 88 (1981) [MB#111959]","Tarzetta cupularis (L.) Svrcek, Ceská Mykologie 35 (2): 88 (1981) [MB#111959]<br />Pustulina cupularis (L.) Eckblad, Nytt Magasin for Botanik 15 (1-2): 85 (1968) [MB#338047]

<br />Geopyxis cupularis (L.) Sacc., Sylloge Fungorum 8: 72 (1889) [MB#188687]

<br />Aleuria cupularis (L.) Gillet, Champignons de France. Les Discomycètes 2: 39 (1879) [MB#514025]

<br />Peziza cupularis L., Species Plantarum: 1181 (1753) [MB#204410]

"

コブミノアラゲコベニチャワンタケ,,,Scutellinia badioberbis (Berk. ex Cooke) Kuntze,ピロネマキン科,アラゲコベニチャワンタケ属,Pyronemataceae,Scutellinia,"Scutellinia badio-berbis (Berk. ex Cooke) Le Gal, Les Discomycètes de Madagascar: 127 (1953) [MB#531552]","Scutellinia badio-berbis (Berk. ex Cooke) Le Gal, Les Discomycètes de Madagascar: 127 (1953) [MB#531552]<br />Scutellinia badio-berbis (Berk. ex Cooke) Kuntze, Revisio generum plantarum 3 (2): 869 (1891) [MB#305686]

<br />Scutellinia badeoberbis (Berk. ex Cooke) Kuntze (1891) [MB#629668]

<br />Lachnea badio-berbis (Berk.) Sacc., Sylloge Fungorum 8: 173 (1889) [MB#140146]

<br />Peziza badio-berbis Berk., Grevillea: 61 (1879) [MB#245787]

"

